0;Nome;0;Empresa;Departamento;0.00
587;Ian H. Adams;48;Chami;Sales and Marketing;2409.00
595;Kaden W. Potts;52;Cakewalk;Payroll;6258.00
603;Summer L. Walton;55;Adobe;Legal Department;5770.00
605;Ima X. Lott;70;Yahoo;Customer Relations;6320.00
609;Thomas L. Carlson;34;Sibelius;Sales and Marketing;5497.00
622;Marvin K. Fuentes;61;Cakewalk;Customer Service;3588.00
627;Curran U. York;39;Altavista;Payroll;8726.00
639;Lyle V. Malone;49;Adobe;Payroll;4050.00
649;Meredith O. Estrada;30;Altavista;Public Relations;6077.00
652;Caldwell D. Swanson;33;Sibelius;Public Relations;4812.00
668;Dennis T. Casey;35;Sibelius;Quality Assurance;2998.00
676;Amelia C. Guerra;40;Lavasoft;Sales and Marketing;7425.00
677;Kiara L. Graves;51;Yahoo;Customer Service;9381.00
679;Justin A. Wilkins;51;Microsoft;Legal Department;1503.00
691;Garth U. Rocha;31;Apple Systems;Tech Support;1762.00
696;Rana H. Shepherd;54;Chami;Quality Assurance;1137.00
697;Gray J. Sharpe;64;Chami;Media Relations;5507.00
702;Ralph T. Short;62;Chami;Media Relations;8622.00
709;Jessamine L. Dean;69;Adobe;Finances;6181.00
710;Berk U. Suarez;52;Cakewalk;Media Relations;5497.00
713;Shafira G. Chen;47;Google;Research and Development;5941.00
736;Harlan Z. Hull;31;Finale;Human Resources;8766.00
739;Aileen W. Gonzalez;69;Cakewalk;Accounting;9503.00
747;Hammett U. Reyes;69;Cakewalk;Legal Department;6494.00
763;Brianna O. Weeks;32;Microsoft;Human Resources;4384.00
769;Lillian Q. Hendrix;55;Chami;Payroll;9888.00
778;James P. Bryan;66;Macromedia;Customer Relations;6914.00
780;Aladdin K. Savage;61;Altavista;Finances;1662.00
781;Hasad H. Weeks;38;Sibelius;Legal Department;1297.00
802;Baxter X. Manning;37;Google;Sales and Marketing;3873.00
804;Hu V. Hopper;45;Altavista;Finances;7867.00
807;Brent W. Crosby;49;Altavista;Sales and Marketing;6776.00
825;Hakeem E. Nelson;41;Apple Systems;Legal Department;2549.00
829;Knox A. Collins;70;Sibelius;Media Relations;2811.00
830;Lydia W. Nelson;57;Google;Accounting;4045.00
837;Rajah J. Parker;46;Adobe;Legal Department;9616.00
844;Peter Z. Monroe;24;Apple Systems;Advertising;3547.00
845;Sophia Q. Mcdowell;24;Chami;Asset Management;3011.00
846;Rhonda R. Little;39;Sibelius;Human Resources;3653.00
851;Xyla E. Kemp;66;Chami;Customer Service;9457.00
852;Cadman P. Flynn;65;Altavista;Customer Relations;5917.00
869;Aretha L. Fowler;33;Chami;Research and Development;6209.00
872;Clarke G. Hernandez;64;Chami;Quality Assurance;1980.00
880;Indigo Z. Stephenson;65;Apple Systems;Human Resources;6835.00
889;Lance O. Pennington;21;Lycos;Sales and Marketing;6804.00
900;Jessica A. Juarez;24;Google;Payroll;2648.00
901;Bethany U. Mueller;41;Altavista;Quality Assurance;7802.00
911;Althea G. Weaver;67;Yahoo;Legal Department;5950.00
914;April C. Burns;26;Lavasoft;Public Relations;9952.00
918;Paki W. Fisher;26;Macromedia;Quality Assurance;1636.00
919;Herrod O. Kim;39;Finale;Finances;5953.00
920;Travis A. Pope;59;Macromedia;Research and Development;5303.00
945;Shaeleigh D. Todd;42;Altavista;Finances;8531.00
947;Gretchen E. Ross;69;Borland;Customer Relations;9142.00
950;Cara R. Abbott;43;Adobe;Accounting;1571.00
951;Quyn X. Vargas;35;Microsoft;Customer Service;4543.00
952;Mira G. Weaver;42;Cakewalk;Accounting;2836.00
955;Mona E. Lawson;65;Finale;Accounting;8601.00
963;Xandra R. Hopper;36;Borland;Human Resources;8326.00
964;Quentin D. Albert;36;Yahoo;Public Relations;3726.00
965;Zena G. Joyner;35;Lycos;Human Resources;4496.00
977;Cara T. Camacho;52;Sibelius;Customer Relations;5819.00
991;Melissa M. Leon;49;Chami;Legal Department;8664.00
992;Kennan A. Holloway;69;Lycos;Customer Relations;6004.00
1005;Merritt T. Richard;43;Chami;Research and Development;6512.00
1007;Blake I. Hancock;52;Apple Systems;Public Relations;2258.00
1020;Avram C. Odom;64;Finale;Customer Relations;4037.00
1025;Uma B. York;37;Borland;Finances;4722.00
1033;Sade R. Cash;45;Chami;Customer Relations;8097.00
1034;Melanie E. English;47;Sibelius;Public Relations;7615.00
1036;Blake R. Valentine;31;Adobe;Customer Relations;6850.00
1039;Rebekah L. Brady;52;Google;Advertising;4727.00
1040;Audrey Z. Williams;43;Microsoft;Public Relations;1876.00
1041;Kieran N. Ortega;19;Macromedia;Public Relations;4697.00
1046;Amir C. Kelly;28;Finale;Finances;8424.00
1055;Amela T. Phillips;64;Google;Payroll;5227.00
1056;Jonah X. Cain;68;Adobe;Finances;7419.00
1059;Desirae H. Travis;49;Sibelius;Asset Management;5597.00
1060;Kelly I. Munoz;26;Altavista;Finances;1016.00
1072;Leandra K. Phelps;21;Lycos;Tech Support;4668.00
1078;Erin A. Perkins;61;Sibelius;Quality Assurance;5173.00
1095;Eliana F. Dorsey;21;Cakewalk;Customer Relations;5570.00
1097;Jesse U. Grimes;46;Apple Systems;Customer Relations;1856.00
1101;Halla N. Barry;44;Chami;Quality Assurance;6868.00
1105;Amy X. Mcneil;23;Altavista;Legal Department;9116.00
1120;Daphne K. Benjamin;50;Altavista;Customer Relations;4394.00
1121;Lydia D. Best;57;Macromedia;Human Resources;7180.00
1122;Vielka D. Paul;36;Microsoft;Customer Relations;2397.00
1126;Donovan A. Ware;32;Apple Systems;Customer Relations;4908.00
1131;Chloe C. Osborne;67;Cakewalk;Human Resources;8900.00
1134;Graiden X. Madden;20;Apple Systems;Asset Management;5636.00
1143;Chandler P. Richard;27;Chami;Customer Service;6567.00
1144;Lawrence Z. Kirby;18;Chami;Asset Management;7610.00
1146;Nasim K. Gates;37;Chami;Public Relations;8970.00
1165;Melissa W. Duffy;44;Lycos;Media Relations;1887.00
1172;Amos L. Ellis;63;Microsoft;Research and Development;4739.00
1175;Laurel A. Owens;67;Sibelius;Research and Development;5418.00
1179;Christopher G. Burnett;43;Lycos;Research and Development;2403.00
1183;Dustin J. Larsen;67;Macromedia;Public Relations;8773.00
1189;Simon U. Heath;43;Google;Media Relations;8932.00
1191;Madonna O. Booth;54;Microsoft;Finances;5679.00
1198;Lael E. Dixon;29;Borland;Legal Department;2487.00
1209;Brianna R. Holloway;24;Macromedia;Finances;4375.00
1218;Channing D. Finley;60;Apple Systems;Payroll;1064.00
1222;Xandra W. Alford;43;Google;Human Resources;9816.00
1241;Price W. Cantrell;45;Macromedia;Payroll;1189.00
1251;Troy K. Griffith;22;Lavasoft;Quality Assurance;6763.00
1256;Jarrod L. Allison;69;Altavista;Customer Relations;3102.00
1261;Elvis S. Davis;19;Macromedia;Accounting;5556.00
1263;Oliver O. Cortez;21;Lycos;Legal Department;5009.00
1264;Hedley G. Blake;19;Macromedia;Media Relations;5332.00
1273;Allistair B. Glass;53;Lycos;Asset Management;2444.00
1279;Lana I. Stark;27;Microsoft;Customer Relations;5560.00
1283;Keane D. Pena;27;Macromedia;Human Resources;9608.00
1291;Hannah C. Tyson;47;Macromedia;Legal Department;3839.00
1293;Shaeleigh E. Durham;62;Adobe;Legal Department;9097.00
1296;Keith G. Wilkinson;55;Lavasoft;Media Relations;6671.00
1297;Stone G. Harrison;27;Cakewalk;Research and Development;8916.00
1299;Zena Y. Page;58;Lycos;Research and Development;9474.00
1314;Addison N. Munoz;48;Google;Human Resources;9905.00
1318;Bevis V. Franco;41;Microsoft;Quality Assurance;5756.00
1322;Montana O. Heath;32;Macromedia;Finances;6272.00
1327;Sylvia X. Cline;63;Apple Systems;Legal Department;4748.00
1350;Lisandra K. Blevins;26;Adobe;Sales and Marketing;2427.00
1353;Joshua G. Mcknight;22;Macromedia;Media Relations;8649.00
1354;Cora G. Gutierrez;29;Yahoo;Accounting;3808.00
1360;Nolan R. Simon;24;Yahoo;Public Relations;7909.00
1362;Laura X. Hoffman;20;Chami;Finances;6976.00
1388;Emery Y. Franklin;44;Borland;Public Relations;4862.00
1415;McKenzie S. Dodson;45;Microsoft;Tech Support;9344.00
1416;Lacy Z. Serrano;46;Finale;Legal Department;5102.00
1422;Kessie I. Obrien;32;Lycos;Research and Development;3338.00
1426;Abdul F. West;40;Google;Human Resources;1478.00
1429;Gabriel P. Peck;70;Adobe;Asset Management;1998.00
1463;Emery L. Moody;49;Microsoft;Tech Support;4867.00
1470;Hall C. Knight;56;Altavista;Tech Support;1461.00
1473;Sean N. Sargent;67;Google;Legal Department;3264.00
1475;Darryl B. Farley;69;Finale;Research and Development;3247.00
1485;Sonya W. Kim;56;Lavasoft;Media Relations;8451.00
1486;Autumn W. Chen;34;Lavasoft;Customer Service;3704.00
1490;Bertha E. Perry;23;Cakewalk;Public Relations;4207.00
1495;Jasmine W. Combs;42;Altavista;Customer Service;6791.00
1507;Walter B. Barlow;58;Lavasoft;Advertising;3314.00
1515;Damian L. Aguilar;32;Lycos;Finances;5858.00
1518;Avye G. Randolph;25;Lavasoft;Customer Service;1666.00
1519;Taylor D. Malone;40;Cakewalk;Sales and Marketing;6735.00
1522;Jaime V. Reed;33;Cakewalk;Accounting;6349.00
1524;Abra N. Gibbs;25;Chami;Human Resources;1226.00
1525;Hop X. Cooley;24;Cakewalk;Customer Relations;4084.00
1535;Petra K. Richardson;67;Altavista;Payroll;8152.00
1551;Olivia S. Peck;32;Cakewalk;Accounting;5014.00
1557;Mia B. Griffith;19;Cakewalk;Customer Relations;2742.00
1559;Colorado C. Howell;20;Microsoft;Legal Department;9928.00
1567;Skyler X. Mueller;27;Yahoo;Public Relations;1817.00
1573;Freya X. Gray;51;Altavista;Accounting;2860.00
1578;Quyn N. Mcmillan;52;Altavista;Customer Relations;6805.00
1581;Nathan F. Summers;28;Google;Public Relations;1737.00
1600;Virginia Q. Holland;45;Yahoo;Accounting;6928.00
1609;Zelda P. Lawrence;40;Lavasoft;Tech Support;7520.00
1612;Fletcher T. Hull;50;Finale;Tech Support;3572.00
1618;Preston D. Wilkins;33;Microsoft;Customer Service;3783.00
1634;Kennan S. Byers;47;Macromedia;Sales and Marketing;2151.00
1637;James Y. Morrison;33;Sibelius;Customer Service;5128.00
1648;Iona D. Bradford;54;Adobe;Research and Development;1161.00
1656;Maisie O. Pierce;38;Altavista;Research and Development;6888.00
1658;Silas B. Cooley;54;Altavista;Public Relations;6760.00
1659;Baker G. Gates;68;Yahoo;Media Relations;3899.00
1662;Maile I. Barnett;35;Macromedia;Asset Management;6239.00
1669;Sharon L. Sullivan;67;Macromedia;Research and Development;8597.00
1684;Amity C. Salinas;70;Lavasoft;Customer Relations;9613.00
1689;Emmanuel D. Powell;51;Apple Systems;Customer Service;2298.00
1691;Clarke G. Dickson;24;Microsoft;Payroll;8779.00
1697;Christine N. Rodriquez;32;Microsoft;Legal Department;6851.00
1699;Demetria R. Wiley;50;Yahoo;Accounting;3595.00
1703;Aurelia C. Vaughn;20;Macromedia;Advertising;4410.00
1716;Phoebe M. Stout;58;Finale;Quality Assurance;7606.00
1717;Karly M. Armstrong;36;Finale;Public Relations;2015.00
1720;Tobias V. Pace;66;Finale;Public Relations;4099.00
1756;Jorden O. Santos;56;Altavista;Public Relations;6312.00
1758;Wilma U. Lancaster;57;Cakewalk;Asset Management;5955.00
1759;Mari B. Wiggins;37;Sibelius;Finances;3539.00
1762;Francis O. Avery;30;Sibelius;Quality Assurance;6236.00
1772;Cole D. Roach;47;Lycos;Advertising;7931.00
1773;Brynn N. Patton;37;Microsoft;Asset Management;3919.00
1783;Abigail P. Dyer;61;Apple Systems;Media Relations;4775.00
1784;Solomon K. Rosales;61;Yahoo;Asset Management;3409.00
1790;Hanae R. Henson;23;Adobe;Sales and Marketing;2954.00
1797;Patrick U. Graham;20;Adobe;Finances;1071.00
1804;Justine C. Dodson;27;Borland;Quality Assurance;7169.00
1812;Ann E. Bray;58;Apple Systems;Sales and Marketing;5069.00
1813;Patricia F. Bolton;31;Sibelius;Public Relations;9272.00
1825;Channing B. Huber;34;Yahoo;Research and Development;4481.00
1836;Seth L. Singleton;26;Macromedia;Tech Support;3014.00
1842;Sheila M. Hardin;25;Sibelius;Media Relations;8796.00
1858;Julie A. Oliver;45;Macromedia;Accounting;4164.00
1860;Todd E. Vega;47;Microsoft;Tech Support;1137.00
1881;Maia N. Leblanc;42;Altavista;Human Resources;3652.00
1889;Odette R. Gibson;26;Microsoft;Customer Relations;3759.00
1892;Leah P. Howell;30;Lavasoft;Quality Assurance;5027.00
1915;Beau J. Conner;54;Microsoft;Public Relations;8516.00
1919;Fredericka I. Gonzales;45;Sibelius;Tech Support;9588.00
1929;Nolan W. Joyce;43;Macromedia;Tech Support;3608.00
1948;Lani U. Owens;54;Macromedia;Media Relations;9807.00
1952;Wesley S. Stanton;25;Sibelius;Finances;2613.00
1956;Gage L. Monroe;21;Sibelius;Public Relations;3957.00
1957;Hope O. Beard;20;Adobe;Advertising;4115.00
1970;Aphrodite P. Merrill;56;Finale;Customer Service;4116.00
1975;Laurel U. Leonard;42;Altavista;Quality Assurance;7153.00
1977;Mia C. Molina;23;Macromedia;Sales and Marketing;3089.00
1994;Wynter S. Wolf;48;Apple Systems;Public Relations;2482.00
2010;Winter H. Garrison;23;Yahoo;Finances;6309.00
2014;Quinn G. Bean;67;Cakewalk;Research and Development;2654.00
2015;Melissa R. Hancock;44;Altavista;Tech Support;1668.00
2040;Aiko W. Hart;58;Microsoft;Customer Relations;4781.00
2042;Raphael H. Taylor;48;Adobe;Asset Management;9881.00
2043;Deanna Z. Lara;69;Adobe;Research and Development;5623.00
2048;Macon E. Rowe;62;Apple Systems;Accounting;3648.00
2050;Dorian A. Wolf;55;Apple Systems;Asset Management;6554.00
2051;Susan U. Raymond;34;Lavasoft;Accounting;3753.00
2060;Darius Y. Mosley;68;Adobe;Asset Management;4738.00
2063;Rhoda D. Kelly;52;Apple Systems;Customer Service;8230.00
2086;Cally I. Houston;66;Lavasoft;Public Relations;8757.00
2099;Omar M. Cervantes;66;Adobe;Media Relations;6554.00
2114;Xavier L. Gill;68;Lavasoft;Media Relations;9911.00
2117;Neil E. Myers;61;Lycos;Payroll;6488.00
2131;Brody P. Beach;70;Lycos;Media Relations;5589.00
2134;Clinton W. Hebert;52;Lycos;Human Resources;4075.00
2143;Dante U. Hayden;39;Finale;Payroll;9215.00
2148;Cassandra Y. Delgado;18;Macromedia;Quality Assurance;9152.00
2158;Pamela S. Rojas;19;Macromedia;Sales and Marketing;2395.00
2164;Brynn B. Brennan;53;Borland;Advertising;1233.00
2181;Anika M. Hart;70;Altavista;Media Relations;2922.00
2184;Avram C. Schmidt;46;Cakewalk;Customer Relations;3148.00
2185;Bryar X. Odom;56;Microsoft;Tech Support;2532.00
2195;Isabelle G. Hoover;27;Cakewalk;Media Relations;3339.00
2215;Upton E. Boone;60;Finale;Quality Assurance;4461.00
2217;Mari K. Roman;66;Apple Systems;Media Relations;3849.00
2228;India N. Mcfadden;19;Lycos;Asset Management;5668.00
2256;Mannix D. Johns;32;Chami;Quality Assurance;8537.00
2260;Phyllis G. Pate;25;Google;Media Relations;1215.00
2275;Omar G. Carr;18;Cakewalk;Public Relations;7992.00
2277;Susan I. Gallagher;56;Adobe;Tech Support;4950.00
2278;Melinda C. Shepherd;46;Chami;Quality Assurance;5293.00
2283;Hashim S. Bernard;42;Adobe;Media Relations;7731.00
2290;Kylynn H. Patel;54;Google;Customer Relations;2555.00
2299;Garrison L. Roberson;18;Apple Systems;Sales and Marketing;3669.00
2308;Dillon P. Guerra;66;Adobe;Human Resources;6901.00
2318;Jillian W. Dean;41;Altavista;Sales and Marketing;8902.00
2330;Yvette J. Hooper;18;Macromedia;Research and Development;2505.00
2332;Garrison B. Osborn;69;Cakewalk;Accounting;4281.00
2336;Isadora J. Clemons;20;Finale;Tech Support;7958.00
2340;Cedric U. Rosales;46;Cakewalk;Finances;8952.00
2344;Yeo P. Preston;37;Apple Systems;Customer Relations;5204.00
2346;Nell Z. Parsons;60;Yahoo;Customer Service;2241.00
2355;Kenneth S. Leach;43;Cakewalk;Media Relations;4102.00
2358;Raymond Z. Jenkins;67;Chami;Media Relations;2598.00
2360;Laurel Q. Morgan;38;Google;Public Relations;2588.00
2394;Benjamin W. James;21;Lycos;Media Relations;3796.00
2397;Hashim O. Pennington;24;Apple Systems;Customer Relations;7855.00
2398;Christopher X. Michael;52;Macromedia;Accounting;3296.00
2399;Hannah I. Saunders;31;Chami;Finances;9546.00
2409;Alexander Q. Lindsay;64;Google;Asset Management;6301.00
2412;Taylor A. Blanchard;56;Microsoft;Media Relations;5458.00
2421;Marny V. Crawford;36;Microsoft;Tech Support;7503.00
2422;Cathleen W. Diaz;43;Cakewalk;Legal Department;5469.00
2450;Vernon A. Patrick;64;Borland;Quality Assurance;3960.00
2463;Ramona P. Suarez;42;Yahoo;Tech Support;6723.00
2469;Hermione G. Robles;26;Cakewalk;Tech Support;1573.00
2471;Laura Q. Odonnell;49;Altavista;Public Relations;5319.00
2483;Lawrence C. Parrish;30;Google;Customer Relations;6907.00
2489;Demetria X. Forbes;46;Microsoft;Payroll;5725.00
2516;Eagan M. Perkins;60;Lycos;Asset Management;1133.00
2517;Amela Y. Davenport;55;Chami;Research and Development;4397.00
2522;Beverly G. Merrill;20;Lavasoft;Research and Development;1875.00
2523;Evan R. Craig;23;Yahoo;Advertising;6344.00
2524;Hiroko N. Kerr;45;Google;Accounting;2464.00
2527;Jennifer Q. Castro;27;Macromedia;Research and Development;5536.00
2529;Arthur Q. Mack;29;Yahoo;Quality Assurance;9859.00
2549;Leo L. Boyle;54;Borland;Customer Relations;2246.00
2559;Alexis K. Oneal;46;Adobe;Human Resources;8661.00
2585;Raja K. York;23;Yahoo;Asset Management;8326.00
2586;Derek T. Duke;58;Microsoft;Customer Service;1029.00
2588;Mara I. Franklin;23;Borland;Customer Relations;6844.00
2592;Kyla T. Gordon;31;Microsoft;Research and Development;1297.00
2600;Tatum V. Dodson;32;Adobe;Legal Department;8307.00
2603;Dacey I. Pope;63;Lavasoft;Customer Service;5043.00
2607;Amethyst N. Booth;50;Altavista;Media Relations;7215.00
2611;Germaine Q. Hammond;58;Lavasoft;Quality Assurance;5073.00
2612;Kasper G. Roberson;53;Altavista;Human Resources;8569.00
2613;Cecilia B. Cameron;22;Sibelius;Quality Assurance;7958.00
2615;Alfonso M. Morrison;25;Borland;Research and Development;5831.00
2621;Ainsley I. Merritt;20;Cakewalk;Payroll;3395.00
2623;Ariel W. Mcgowan;48;Chami;Tech Support;8465.00
2625;Christen T. Acosta;30;Chami;Sales and Marketing;2853.00
2650;Yeo J. Miller;66;Yahoo;Research and Development;6296.00
2651;Patrick S. Clements;44;Altavista;Media Relations;2995.00
2658;Merrill K. Mckinney;34;Finale;Quality Assurance;7198.00
2672;Fritz U. Glover;34;Finale;Public Relations;4691.00
2673;Rinah Y. Edwards;41;Chami;Advertising;2801.00
2678;Jarrod T. Finley;39;Altavista;Tech Support;4694.00
2683;Jena C. Graves;18;Chami;Payroll;6936.00
2703;Naida N. Haney;68;Yahoo;Research and Development;8828.00
2710;Tanek W. Conley;55;Apple Systems;Finances;5230.00
2739;Catherine O. Townsend;52;Borland;Human Resources;5648.00
2748;Willow K. Chandler;55;Apple Systems;Human Resources;1206.00
2753;Addison V. Wood;39;Chami;Advertising;1949.00
2781;Steven S. Jarvis;31;Google;Payroll;7189.00
2791;Savannah F. Whitney;61;Adobe;Sales and Marketing;9811.00
2792;Iola L. Kelly;20;Finale;Customer Service;1939.00
2796;Reuben B. Rollins;38;Yahoo;Research and Development;3586.00
2803;Kenyon O. Hudson;28;Adobe;Research and Development;7531.00
2808;Thaddeus M. Fry;62;Macromedia;Tech Support;6216.00
2821;Unity V. Noel;69;Finale;Research and Development;3460.00
2830;Octavius G. Valencia;55;Borland;Media Relations;8739.00
2834;Harding E. Preston;36;Finale;Sales and Marketing;9328.00
2837;Minerva X. Casey;22;Google;Tech Support;7570.00
2857;Uriah M. Mayer;39;Apple Systems;Quality Assurance;8937.00
2862;Farrah K. Hess;44;Microsoft;Quality Assurance;2883.00
2864;Jackson K. Sharpe;47;Sibelius;Human Resources;2237.00
2870;Jameson I. Key;62;Apple Systems;Advertising;5390.00
2871;Mariko Q. Barron;30;Cakewalk;Human Resources;2012.00
2873;Claire W. Petersen;25;Yahoo;Accounting;9820.00
2880;Chloe L. Wise;21;Chami;Public Relations;7411.00
2896;Colt S. Chandler;27;Lycos;Legal Department;5127.00
2905;Wynne M. Benjamin;23;Adobe;Public Relations;8223.00
2910;Georgia X. Silva;31;Macromedia;Legal Department;6966.00
2944;Alfonso B. Lopez;51;Cakewalk;Public Relations;4295.00
2960;Arthur O. Shaffer;52;Cakewalk;Asset Management;2080.00
2967;Hadley T. Hutchinson;34;Sibelius;Research and Development;5373.00
2970;Gregory E. Goodwin;22;Apple Systems;Accounting;9549.00
2975;Macaulay R. Casey;59;Cakewalk;Media Relations;5821.00
2976;Isabelle B. Good;24;Google;Tech Support;4894.00
2979;Ezra A. Melendez;64;Macromedia;Customer Service;7113.00
2987;Kylan X. Robertson;47;Lavasoft;Quality Assurance;1829.00
2990;Amelia Q. Hernandez;43;Lycos;Customer Service;4472.00
2998;Bo M. Hartman;45;Google;Media Relations;9286.00
3000;Anne C. Fitzpatrick;68;Microsoft;Legal Department;3325.00
3014;Stewart K. Ward;56;Microsoft;Research and Development;2256.00
3019;Unity V. Mcpherson;36;Chami;Media Relations;5607.00
3021;Audrey S. Browning;58;Yahoo;Human Resources;9460.00
3024;Sawyer A. Dotson;70;Chami;Finances;6278.00
